P1569: 0  (0,0.0000),(193.4000,54.5590,0.4389),(-0.3400,0.9100,0.2200)
P1570: 0  (0,2.1266),(-2.0000,-0.6973,-0.1900),(-0.3400,0.9100,0.2199)
P1571: 0  (0,2.1255),(-2.0000,-0.6993,-0.1700),(-0.3400,0.9100,0.2199)
P1572: 0  (0,2.1285),(-2.0000,-0.7107,-0.1600),(-0.3400,0.9100,0.2200)
P1573: 0  (0,2.1267),(-2.0000,-0.7095,-0.1400),(-0.3400,0.9100,0.2200)
P1574: 0  (0,2.1238),(-2.0000,-0.7026,-0.1300),(-0.3400,0.9100,0.2200)
P1575: 0  (0,2.1278),(-2.0000,-0.7178,-0.1100),(-0.3400,0.9100,0.2200)
P1576: 0  (0,2.1282),(-2.0000,-0.7207,-0.1000),(-0.3400,0.9100,0.2200)
P1577: 0  (0,2.1277),(-2.0000,-0.7204,-0.0900),(-0.3400,0.9100,0.2200)
P1578: 0  (0,2.1291),(-2.0000,-0.7267,-0.0700),(-0.3400,0.9100,0.2200)
P1579: 0  (0,2.1284),(-2.0000,-0.7256,-0.0600),(-0.3400,0.9100,0.2200)
P1580: 0  (0,2.1296),(-2.0000,-0.7300,-0.0500),(-0.3400,0.9100,0.2200)
P1581: 0  (0,2.1294),(-2.0000,-0.7299,-0.0400),(-0.3400,0.9100,0.2200)
P1582: 0  (0,2.1339),(-2.0000,-0.7438,-0.0200),(-0.3400,0.9100,0.2200)
P1583: 0  (0,2.1324),(-2.0000,-0.7396,-0.0100),(-0.3400,0.9100,0.2200)
P1584: 0  (0,2.1315),(-2.0000,-0.7371,0.0000),(-0.3400,0.9100,0.2200)
P1585: 0  (0,2.1371),(-2.0000,-0.7528,0.0200),(-0.3400,0.9100,0.2200)
P1586: 0  (0,2.1358),(-2.0000,-0.7492,0.0200),(-0.3400,0.9100,0.2200)
P1587: 0  (0,2.1376),(-2.0000,-0.7535,0.0400),(-0.3400,0.9100,0.2200)
P1588: 0  (0,2.1372),(-2.0000,-0.7517,0.0500),(-0.3400,0.9100,0.2200)
P1589: 0  (0,2.1391),(-2.0000,-0.7565,0.0600),(-0.3400,0.9100,0.2200)
P1590: 0  (0,2.1412),(-2.0000,-0.7615,0.0700),(-0.3400,0.9100,0.2200)
P1591: 0  (0,2.1419),(-2.0000,-0.7623,0.0800),(-0.3400,0.9100,0.2200)
P1592: 0  (0,2.1429),(-2.0000,-0.7642,0.0900),(-0.3400,0.9100,0.2200)
P1593: 0  (0,2.1461),(-2.0000,-0.7720,0.1000),(-0.3400,0.9100,0.2200)
P1594: 0  (0,2.1431),(-2.0000,-0.7622,0.1100),(-0.3400,0.9100,0.2200)
P1595: 0  (0,2.1499),(-2.0000,-0.7796,0.1200),(-0.3400,0.9100,0.2200)
P1596: 0  (0,2.1470),(-2.0000,-0.7699,0.1300),(-0.3400,0.9100,0.2200)
P1597: 0  (0,2.1510),(-2.0000,-0.7792,0.1400),(-0.3400,0.9100,0.2200)
P1598: 0  (0,2.1504),(-2.0000,-0.7777,0.1400),(-0.3400,0.9100,0.2200)
P1599: 0  (0,2.1554),(-2.0000,-0.7874,0.1600),(-0.3400,0.9100,0.2200)
P1600: 0  (0,2.1534),(-2.0000,-0.7820,0.1600),(-0.3400,0.9100,0.2200)
P1601: 0  (0,2.1545),(-2.0000,-0.7829,0.1700),(-0.3400,0.9100,0.2200)
P1602: 0  (0,2.1575),(-2.0000,-0.7890,0.1800),(-0.3400,0.9100,0.2200)
P1603: 0  (0,2.1580),(-2.0000,-0.7880,0.1900),(-0.3400,0.9100,0.2200)
P1604: 0  (0,2.1599),(-2.0000,-0.7932,0.1900),(-0.3400,0.9100,0.2200)
P1605: 0  (0,2.1625),(-2.0000,-0.7951,0.2100),(-0.3400,0.9100,0.2200)
P1606: 0  (0,2.1579),(-2.0000,-0.7852,0.2000),(-0.3400,0.9100,0.2200)
P1607: 0  (0,2.1645),(-2.0000,-0.7980,0.2200),(-0.3400,0.9100,0.2200)
P1608: 0  (0,2.1646),(-2.0000,-0.7981,0.2200),(-0.3400,0.9100,0.2200)
P1609: 0  (0,2.1669),(-2.0000,-0.8015,0.2300),(-0.3400,0.9100,0.2200)
P1610: 0  (0,2.1667),(-2.0000,-0.8011,0.2300),(-0.3400,0.9100,0.2200)
P1611: 0  (0,2.1689),(-2.0000,-0.8040,0.2400),(-0.3400,0.9100,0.2200)
P1612: 0  (0,2.1711),(-2.0000,-0.8069,0.2500),(-0.3400,0.9100,0.2200)
P1613: 0  (0,2.1697),(-2.0000,-0.8031,0.2500),(-0.3400,0.9100,0.2200)
P1614: 0  (0,2.1734),(-2.0000,-0.8100,0.2600),(-0.3400,0.9100,0.2200)
P1615: 0  (0,2.1741),(-2.0000,-0.8119,0.2600),(-0.3400,0.9100,0.2201)
P1616: 0  (0,2.1744),(-2.0000,-0.8094,0.2700),(-0.3400,0.9100,0.2200)
P1617: 0  (0,2.1731),(-2.0000,-0.8059,0.2700),(-0.3400,0.9100,0.2200)
P1618: 0  (0,2.1749),(-2.0000,-0.8107,0.2700),(-0.3400,0.9100,0.2200)
