P1904: 0  (0,0.0000),(193.4000,75.9200,-21.9611),(-0.3600,0.5600,0.7400)
P2: 0  (0,2.2577),(-2.0000,-1.0300,-0.1900),(-0.3600,0.5700,0.7400)
P3: 0  (0,2.2515),(-2.0000,-1.0200,-0.1700),(-0.3600,0.5800,0.7400)
P4: 0  (0,2.2553),(-2.0000,-1.0300,-0.1600),(-0.3500,0.5800,0.7300)
P5: 0  (0,2.2494),(-2.0000,-1.0200,-0.1400),(-0.3500,0.5900,0.7300)
P6: 0  (0,2.2534),(-2.0000,-1.0300,-0.1300),(-0.3500,0.6000,0.7200)
P7: 0  (0,2.2478),(-2.0000,-1.0200,-0.1100),(-0.3500,0.6000,0.7200)
P8: 0  (0,2.2473),(-2.0000,-1.0200,-0.1000),(-0.3500,0.6100,0.7100)
P9: 0  (0,2.2514),(-2.0000,-1.0300,-0.0900),(-0.3400,0.6200,0.7100)
P10: 0  (0,2.2507),(-2.0000,-1.0300,-0.0700),(-0.3400,0.6200,0.7000)
P11: 0  (0,2.2459),(-2.0000,-1.0200,-0.0600),(-0.3400,0.6300,0.7000)
P12: 0  (0,2.2502),(-2.0000,-1.0300,-0.0500),(-0.3400,0.6400,0.6900)
P13: 0  (0,2.2454),(-2.0000,-1.0200,-0.0400),(-0.3400,0.6400,0.6900)
P14: 0  (0,2.2497),(-2.0000,-1.0300,-0.0200),(-0.3400,0.6500,0.6800)
P15: 0  (0,2.2497),(-2.0000,-1.0300,-0.0100),(-0.3400,0.6600,0.6800)
P16: 0  (0,2.2451),(-2.0000,-1.0200,0.0000),(-0.3400,0.6600,0.6700)
P17: 0  (0,2.2497),(-2.0000,-1.0300,0.0200),(-0.3400,0.6700,0.6600)
P18: 0  (0,2.2497),(-2.0000,-1.0300,0.0200),(-0.3400,0.6700,0.6600)
P19: 0  (0,2.2500),(-2.0000,-1.0300,0.0400),(-0.3400,0.6800,0.6500)
P20: 0  (0,2.2502),(-2.0000,-1.0300,0.0500),(-0.3400,0.6900,0.6500)
P21: 0  (0,2.2459),(-2.0000,-1.0200,0.0600),(-0.3400,0.6900,0.6400)
P22: 0  (0,2.2507),(-2.0000,-1.0300,0.0700),(-0.3400,0.7000,0.6300)
P23: 0  (0,2.2511),(-2.0000,-1.0300,0.0800),(-0.3400,0.7000,0.6300)
P24: 0  (0,2.2514),(-2.0000,-1.0300,0.0900),(-0.3400,0.7100,0.6200)
P25: 0  (0,2.2519),(-2.0000,-1.0300,0.1000),(-0.3400,0.7200,0.6100)
P26: 0  (0,2.2523),(-2.0000,-1.0300,0.1100),(-0.3400,0.7200,0.6000)
P27: 0  (0,2.2528),(-2.0000,-1.0300,0.1200),(-0.3400,0.7300,0.6000)
P28: 0  (0,2.2534),(-2.0000,-1.0300,0.1300),(-0.3400,0.7300,0.5900)
P29: 0  (0,2.2586),(-2.0000,-1.0400,0.1400),(-0.3400,0.7400,0.5800)
P30: 0  (0,2.2540),(-2.0000,-1.0300,0.1400),(-0.3400,0.7500,0.5700)
P31: 0  (0,2.2553),(-2.0000,-1.0300,0.1600),(-0.3400,0.7500,0.5600)
P32: 0  (0,2.2553),(-2.0000,-1.0300,0.1600),(-0.3500,0.7600,0.5500)
P33: 0  (0,2.2606),(-2.0000,-1.0400,0.1700),(-0.3500,0.7600,0.5400)
P34: 0  (0,2.2568),(-2.0000,-1.0300,0.1800),(-0.3500,0.7700,0.5300)
P35: 0  (0,2.2577),(-2.0000,-1.0300,0.1900),(-0.3500,0.7800,0.5200)
P36: 0  (0,2.2622),(-2.0000,-1.0400,0.1900),(-0.3500,0.7800,0.5100)
P37: 0  (0,2.2594),(-2.0000,-1.0300,0.2100),(-0.3600,0.7900,0.5000)
P38: 0  (0,2.2631),(-2.0000,-1.0400,0.2000),(-0.3600,0.7900,0.4900)
P39: 0  (0,2.2650),(-2.0000,-1.0400,0.2200),(-0.3600,0.8000,0.4800)
P40: 0  (0,2.2604),(-2.0000,-1.0300,0.2200),(-0.3600,0.8000,0.4700)
P41: 0  (0,2.2659),(-2.0000,-1.0400,0.2300),(-0.3700,0.8100,0.4600)
P42: 0  (0,2.2659),(-2.0000,-1.0400,0.2300),(-0.3700,0.8100,0.4500)
P43: 0  (0,2.2624),(-2.0000,-1.0300,0.2400),(-0.3700,0.8200,0.4400)
P44: 0  (0,2.2681),(-2.0000,-1.0400,0.2500),(-0.3700,0.8200,0.4300)
P45: 0  (0,2.2681),(-2.0000,-1.0400,0.2500),(-0.3800,0.8300,0.4100)
P46: 0  (0,2.2692),(-2.0000,-1.0400,0.2600),(-0.3800,0.8300,0.4000)
P47: 0  (0,2.2692),(-2.0000,-1.0400,0.2600),(-0.3800,0.8400,0.3900)
P48: 0  (0,2.2704),(-2.0000,-1.0400,0.2700),(-0.3900,0.8400,0.3800)
P49: 0  (0,2.2704),(-2.0000,-1.0400,0.2700),(-0.3900,0.8400,0.3700)
P50: 0  (0,2.2704),(-2.0000,-1.0400,0.2700),(-0.3900,0.8500,0.3500)
P51: 0  (0,2.2762),(-2.0000,-1.0500,0.2800),(-0.4000,0.8500,0.3400)
P52: 0  (0,2.2728),(-2.0000,-1.0400,0.2900),(-0.4000,0.8600,0.3300)
P53: 0  (0,2.2728),(-2.0000,-1.0400,0.2900),(-0.4000,0.8600,0.3200)
P54: 0  (0,2.2774),(-2.0000,-1.0500,0.2900),(-0.4000,0.8600,0.3100)
P55: 0  (0,2.2728),(-2.0000,-1.0400,0.2900),(-0.4100,0.8600,0.3000)
P56: 0  (0,2.2787),(-2.0000,-1.0500,0.3000),(-0.4100,0.8700,0.2800)
P57: 0  (0,0.8421),(-0.0000,-0.2628,0.8000),(-0.4015,0.8712,0.2875)
P58: 0  (0,2.2762),(2.0000,1.0445,-0.3000),(-0.4055,0.8673,0.3000)
P59: 0  (0,2.2644),(2.0000,1.0214,-0.2900),(-0.4020,0.8573,0.3101)
P60: 0  (0,2.2731),(2.0000,1.0406,-0.2900),(-0.3912,0.8611,0.3197)
P61: 0  (0,2.2665),(2.0000,1.0261,-0.2900),(-0.3951,0.8597,0.3311)
P62: 0  (0,2.2678),(2.0000,1.0290,-0.2900),(-0.3939,0.8472,0.3372)
P63: 0  (0,2.2715),(2.0000,1.0399,-0.2800),(-0.3848,0.8512,0.3569)
P64: 0  (0,2.2584),(2.0000,1.0136,-0.2700),(-0.3846,0.8470,0.3712)
P65: 0  (0,2.2681),(2.0000,1.0351,-0.2700),(-0.3846,0.8370,0.3771)
