P1: 0  (0,0.0000),(193.4000,75.9200,-21.9611),(-0.3600,0.5600,0.7400)
P2: 0  (0,2.2577),(191.4000,74.8900,-22.1511),(-0.3600,0.5700,0.7400)
P3: 0  (0,2.2515),(189.4000,73.8700,-22.3211),(-0.3600,0.5800,0.7400)
P4: 0  (0,2.2553),(187.4000,72.8400,-22.4811),(-0.3500,0.5800,0.7300)
P5: 0  (0,2.2494),(185.4000,71.8200,-22.6211),(-0.3500,0.5900,0.7300)
P6: 0  (0,2.2534),(183.4000,70.7900,-22.7511),(-0.3500,0.6000,0.7200)
P7: 0  (0,2.2478),(181.4000,69.7700,-22.8611),(-0.3500,0.6000,0.7200)
P8: 0  (0,2.2473),(179.4000,68.7500,-22.9611),(-0.3500,0.6100,0.7100)
P9: 0  (0,2.2514),(177.4000,67.7200,-23.0511),(-0.3400,0.6200,0.7100)
P10: 0  (0,2.2507),(175.4000,66.6900,-23.1211),(-0.3400,0.6200,0.7000)
P11: 0  (0,2.2459),(173.4000,65.6700,-23.1811),(-0.3400,0.6300,0.7000)
P12: 0  (0,2.2502),(171.4000,64.6400,-23.2311),(-0.3400,0.6400,0.6900)
P13: 0  (0,2.2454),(169.4000,63.6200,-23.2711),(-0.3400,0.6400,0.6900)
P14: 0  (0,2.2497),(167.4000,62.5900,-23.2911),(-0.3400,0.6500,0.6800)
P15: 0  (0,2.2497),(165.4000,61.5600,-23.3011),(-0.3400,0.6600,0.6800)
P16: 0  (0,2.2451),(163.4000,60.5400,-23.3011),(-0.3400,0.6600,0.6700)
P17: 0  (0,2.2497),(161.4000,59.5100,-23.2811),(-0.3400,0.6700,0.6600)
P18: 0  (0,2.2497),(159.4000,58.4800,-23.2611),(-0.3400,0.6700,0.6600)
P19: 0  (0,2.2500),(157.4000,57.4500,-23.2211),(-0.3400,0.6800,0.6500)
P20: 0  (0,2.2502),(155.4000,56.4200,-23.1711),(-0.3400,0.6900,0.6500)
P21: 0  (0,2.2459),(153.4000,55.4000,-23.1111),(-0.3400,0.6900,0.6400)
P22: 0  (0,2.2507),(151.4000,54.3700,-23.0411),(-0.3400,0.7000,0.6300)
P23: 0  (0,2.2511),(149.4000,53.3400,-22.9611),(-0.3400,0.7000,0.6300)
P24: 0  (0,2.2514),(147.4000,52.3100,-22.8711),(-0.3400,0.7100,0.6200)
P25: 0  (0,2.2519),(145.4000,51.2800,-22.7711),(-0.3400,0.7200,0.6100)
P26: 0  (0,2.2523),(143.4000,50.2500,-22.6611),(-0.3400,0.7200,0.6000)
P27: 0  (0,2.2528),(141.4000,49.2200,-22.5411),(-0.3400,0.7300,0.6000)
P28: 0  (0,2.2534),(139.4000,48.1900,-22.4111),(-0.3400,0.7300,0.5900)
P29: 0  (0,2.2586),(137.4000,47.1500,-22.2711),(-0.3400,0.7400,0.5800)
P30: 0  (0,2.2540),(135.4000,46.1200,-22.1311),(-0.3400,0.7500,0.5700)
P31: 0  (0,2.2553),(133.4000,45.0900,-21.9711),(-0.3400,0.7500,0.5600)
P32: 0  (0,2.2553),(131.4000,44.0600,-21.8111),(-0.3500,0.7600,0.5500)
P33: 0  (0,2.2606),(129.4000,43.0200,-21.6411),(-0.3500,0.7600,0.5400)
P34: 0  (0,2.2568),(127.4000,41.9900,-21.4611),(-0.3500,0.7700,0.5300)
P35: 0  (0,2.2577),(125.4000,40.9600,-21.2711),(-0.3500,0.7800,0.5200)
P36: 0  (0,2.2622),(123.4000,39.9200,-21.0811),(-0.3500,0.7800,0.5100)
P37: 0  (0,2.2594),(121.4000,38.8900,-20.8711),(-0.3600,0.7900,0.5000)
P38: 0  (0,2.2631),(119.4000,37.8500,-20.6711),(-0.3600,0.7900,0.4900)
P39: 0  (0,2.2650),(117.4000,36.8100,-20.4511),(-0.3600,0.8000,0.4800)
P40: 0  (0,2.2604),(115.4000,35.7800,-20.2311),(-0.3600,0.8000,0.4700)
P41: 0  (0,2.2659),(113.4000,34.7400,-20.0011),(-0.3700,0.8100,0.4600)
P42: 0  (0,2.2659),(111.4000,33.7000,-19.7711),(-0.3700,0.8100,0.4500)
P43: 0  (0,2.2624),(109.4000,32.6700,-19.5311),(-0.3700,0.8200,0.4400)
P44: 0  (0,2.2681),(107.4000,31.6300,-19.2811),(-0.3700,0.8200,0.4300)
P45: 0  (0,2.2681),(105.4000,30.5900,-19.0311),(-0.3800,0.8300,0.4100)
P46: 0  (0,2.2692),(103.4000,29.5500,-18.7711),(-0.3800,0.8300,0.4000)
P47: 0  (0,2.2692),(101.4000,28.5100,-18.5111),(-0.3800,0.8400,0.3900)
P48: 0  (0,2.2704),(99.4000,27.4700,-18.2411),(-0.3900,0.8400,0.3800)
P49: 0  (0,2.2704),(97.4000,26.4300,-17.9711),(-0.3900,0.8400,0.3700)
P50: 0  (0,2.2704),(95.4000,25.3900,-17.7011),(-0.3900,0.8500,0.3500)
P51: 0  (0,2.2762),(93.4000,24.3400,-17.4211),(-0.4000,0.8500,0.3400)
P52: 0  (0,2.2728),(91.4000,23.3000,-17.1311),(-0.4000,0.8600,0.3300)
P53: 0  (0,2.2728),(89.4000,22.2600,-16.8411),(-0.4000,0.8600,0.3200)
P54: 0  (0,2.2774),(87.4000,21.2100,-16.5511),(-0.4000,0.8600,0.3100)
P55: 0  (0,2.2728),(85.4000,20.1700,-16.2611),(-0.4100,0.8600,0.3000)
P56: 0  (0,2.2787),(83.4000,19.1200,-15.9611),(-0.4100,0.8700,0.2800)
P57: 0  (0,0.8421),(83.4000,18.8572,-15.1611),(-0.4015,0.8712,0.2875)
P58: 0  (0,2.2762),(85.4000,19.9016,-15.4611),(-0.4055,0.8673,0.3000)
P59: 0  (0,2.2644),(87.4000,20.9231,-15.7511),(-0.4020,0.8573,0.3101)
P60: 0  (0,2.2731),(89.4000,21.9636,-16.0411),(-0.3912,0.8611,0.3197)
P61: 0  (0,2.2665),(91.4000,22.9897,-16.3311),(-0.3951,0.8597,0.3311)
P62: 0  (0,2.2678),(93.4000,24.0187,-16.6211),(-0.3939,0.8472,0.3372)
P63: 0  (0,2.2715),(95.4000,25.0586,-16.9011),(-0.3848,0.8512,0.3569)
P64: 0  (0,2.2584),(97.4000,26.0723,-17.1711),(-0.3846,0.8470,0.3712)
P65: 0  (0,2.2681),(99.4000,27.1074,-17.4411),(-0.3846,0.8370,0.3771)
P66: 0  (0,2.2608),(101.4000,28.1263,-17.7111),(-0.3745,0.8397,0.3867)
P67: 0  (0,2.2694),(103.4000,29.1667,-17.9711),(-0.3745,0.8375,0.4072)
P68: 0  (0,2.2600),(105.4000,30.1864,-18.2311),(-0.3744,0.8297,0.4189)
P69: 0  (0,2.2626),(107.4000,31.2144,-18.4811),(-0.3723,0.8276,0.4313)
P70: 0  (0,2.2595),(109.4000,32.2357,-18.7311),(-0.3643,0.8196,0.4367)
P71: 0  (0,2.2597),(111.4000,33.2597,-18.9711),(-0.3643,0.8177,0.4467)
P72: 0  (0,2.2570),(113.4000,34.2800,-19.2011),(-0.3641,0.8101,0.4690)
P73: 0  (0,2.2626),(115.4000,35.3126,-19.4311),(-0.3542,0.7971,0.4791)
P74: 0  (0,2.2528),(117.4000,36.3258,-19.6511),(-0.3542,0.8000,0.4891)
P75: 0  (0,2.2619),(119.4000,37.3590,-19.8711),(-0.3542,0.7912,0.4990)
P76: 0  (0,2.2475),(121.4000,38.3647,-20.0711),(-0.3540,0.7900,0.5087)
P77: 0  (0,2.2610),(123.4000,39.3981,-20.2811),(-0.3441,0.7800,0.5146)
P78: 0  (0,2.2512),(125.4000,40.4138,-20.4711),(-0.3441,0.7800,0.5247)
P79: 0  (0,2.2543),(127.4000,41.4365,-20.6611),(-0.3441,0.7700,0.5347)
P80: 0  (0,2.2510),(129.4000,42.4536,-20.8411),(-0.3441,0.7600,0.5487)
P81: 0  (0,2.2477),(131.4000,43.4652,-21.0111),(-0.3428,0.7600,0.5597)
P82: 0  (0,2.2538),(133.4000,44.4919,-21.1711),(-0.3416,0.7500,0.5697)
P83: 0  (0,2.2515),(135.4000,45.5135,-21.3311),(-0.3306,0.7499,0.5797)
P84: 0  (0,2.2447),(137.4000,46.5230,-21.4711),(-0.3306,0.7400,0.5775)
P85: 0  (0,2.2510),(139.4000,47.5465,-21.6111),(-0.3339,0.7300,0.5874)
P86: 0  (0,2.2473),(141.4000,48.5631,-21.7411),(-0.3327,0.7300,0.5974)
P87: 0  (0,2.2461),(143.4000,49.5784,-21.8611),(-0.3327,0.7200,0.6097)
P88: 0  (0,2.2451),(145.4000,50.5925,-21.9711),(-0.3326,0.7191,0.6197)
P89: 0  (0,2.2462),(147.4000,51.6100,-22.0711),(-0.3331,0.7100,0.6173)
P90: 0  (0,2.2437),(149.4000,52.6231,-22.1611),(-0.3330,0.7000,0.6274)
P91: 0  (0,2.2461),(151.4000,53.6421,-22.2411),(-0.3331,0.7003,0.6396)
P92: 0  (0,2.2442),(153.4000,54.6579,-22.3111),(-0.3331,0.6900,0.6373)
P93: 0  (0,2.2429),(155.4000,55.6712,-22.3711),(-0.3331,0.6924,0.6473)
P94: 0  (0,2.2438),(157.4000,56.6872,-22.4211),(-0.3332,0.6803,0.6596)
P95: 0  (0,2.2388),(159.4000,57.6925,-22.4611),(-0.3332,0.6700,0.6573)
P96: 0  (0,2.2445),(161.4000,58.7110,-22.4811),(-0.3328,0.6690,0.6696)
P97: 0  (0,2.2437),(163.4000,59.7277,-22.5011),(-0.3329,0.6599,0.6796)
P98: 0  (0,2.2416),(165.4000,60.7400,-22.5011),(-0.3328,0.6508,0.6807)
P99: 0  (0,2.2413),(167.4000,61.7515,-22.4911),(-0.3303,0.6502,0.6890)
P100: 0  (0,2.2375),(169.4000,62.7546,-22.4711),(-0.3303,0.6400,0.6883)
P101: 0  (0,2.2431),(171.4000,63.7695,-22.4311),(-0.3303,0.6418,0.6998)
P102: 0  (0,2.2389),(173.4000,64.7745,-22.3811),(-0.3413,0.6302,0.6983)
P103: 0  (0,2.2441),(175.4000,65.7906,-22.3211),(-0.3411,0.6200,0.7098)
P104: 0  (0,2.2438),(177.4000,66.8053,-22.2511),(-0.3411,0.6219,0.7080)
